City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Warman,52.3168,-106.5679,3.2,78,40,11.5,CA,1611842732
Hilo,19.7297,-155.09,69.8,83,90,13.8,US,1611842743
Kununurra,-15.7667,128.7333,80.6,100,40,11.5,AU,1611843081
Kruisfontein,-34.0033,24.7314,78.01,47,0,8.01,ZA,1611843081
Nadadores,27.05,-101.6,46.99,32,100,4.34,MX,1611843081
Tasiilaq,65.6145,-37.6368,26.6,86,90,26.46,GL,1611843082
Punta Arenas,-53.15,-70.9167,48.2,71,75,24.16,CL,1611843082
Yellowknife,62.456,-114.3525,-23.01,76,40,4.61,CA,1611842962
Vitim,59.4511,112.5578,-36.08,79,57,3.62,RU,1611843082
Saint-Philippe,-21.3585,55.7679,86.0,62,90,10.36,RE,1611843082
Kapaa,22.0752,-159.319,73.4,78,90,21.85,US,1611843082
Maţāy,28.419,30.7792,64.96,27,0,10.63,EG,1611843083
Bondoukou,8.0333,-2.8,99.07,9,0,5.79,CI,1611843083
Saskylakh,71.9167,114.0833,-43.38,78,37,3.51,RU,1611843083
Tucson,32.2217,-110.9265,51.8,40,90,12.66,US,1611842876
Ushuaia,-54.8,-68.3,44.6,76,75,4.61,AR,1611842964
Amberley,39.2048,-84.428,24.01,80,90,7.94,US,1611843083
Mar del Plata,-38.0023,-57.5575,71.6,73,0,9.22,AR,1611843084
Abonnema,4.7084,6.7931,91.4,62,75,6.91,NG,1611843084
Andes,5.6561,-75.8788,61.0,91,67,1.72,CO,1611843069
Cidreira,-30.1811,-50.2056,76.35,73,68,3.09,BR,1611843084
Kavieng,-2.5744,150.7967,82.8,77,100,9.51,PG,1611843084
Qaanaaq,77.484,-69.3632,-10.28,68,0,9.13,GL,1611843084
Aksarka,66.5606,67.7975,-25.98,85,100,10.74,RU,1611843084
Sumbe,-11.2061,13.8437,86.0,62,20,10.36,AO,1611843085
Rikitea,-23.1203,-134.9692,78.91,68,16,2.64,PF,1611843085
Vaini,-21.2,-175.2,75.2,100,90,16.11,TO,1611843085
Puerto Ayora,-0.7393,-90.3518,78.8,83,40,10.36,EC,1611843085
Ilulissat,69.2167,-51.1,10.4,48,1,12.66,GL,1611843085
Arinos,-15.9169,-46.1056,83.86,44,46,5.28,BR,1611843086
Linhares,-19.3911,-40.0722,86.99,51,48,5.64,BR,1611843067
Baghdad,33.3406,44.4009,68.0,34,0,6.91,IQ,1611843081
Busselton,-33.65,115.3333,64.99,82,0,1.99,AU,1611843086
Sørland,67.667,12.6934,33.8,64,40,16.11,NO,1611843086
Kirkenær,60.4564,12.0582,17.01,92,40,2.21,NO,1611843086
Vanimo,-2.6741,141.3028,78.8,84,100,3.18,PG,1611843086
Khatanga,71.9667,102.5,-36.56,77,0,5.57,RU,1611843087
Mpika,-11.8343,31.4529,73.47,85,100,1.43,ZM,1611843087
Samarai,-10.6167,150.6667,81.12,79,100,10.29,PG,1611843087
Clearlake,38.9582,-122.6264,41.0,96,90,1.7,US,1611842868
Mataura,-46.1927,168.8643,48.0,76,92,8.99,NZ,1611843088
Greeley,40.4233,-104.7091,18.0,85,1,6.91,US,1611843088
Hobart,-42.8794,147.3294,57.2,67,90,4.61,AU,1611843088
Port Lincoln,-34.7333,135.8667,63.32,89,100,3.06,AU,1611843088
Yumen,40.2833,97.2,25.54,71,0,10.45,CN,1611843088
Praia da Vitória,38.7333,-27.0667,64.4,77,40,20.47,PT,1611843088
New Norfolk,-42.7826,147.0587,57.2,67,90,4.61,AU,1611843089
Hambantota,6.1241,81.1185,80.6,89,90,3.44,LK,1611843089
Atuona,-9.8,-139.0333,77.7,78,1,16.08,PF,1611843089
Korla,41.7597,86.1469,23.77,83,0,1.72,CN,1611843089
Kidal,18.4411,1.4078,87.12,10,0,15.86,ML,1611843089
Touros,-5.1989,-35.4608,87.8,55,40,16.11,BR,1611843090
Hasaki,35.7333,140.8333,36.0,100,75,8.05,JP,1611843090
